hora_aula_id,disciplina_id,turma_id,criado_em,atualizado_em
1,10,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
2,10,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
3,1,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
4,6,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
5,4,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
6,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
16,1,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
17,1,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
18,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
19,6,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
20,5,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
21,5,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
31,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
32,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
33,3,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
34,6,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
35,5,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
36,8,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
46,4,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
47,9,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
48,9,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
49,6,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
50,1,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
51,1,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
61,10,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
62,3,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
63,3,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
64,6,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
65,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
66,2,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
8,7,4,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
