hora_aula_id,disciplina_id,turma_id,criado_em,atualizado_em
10,3,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
11,3,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
12,1,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
13,6,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
14,1,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
15,4,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
25,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
26,9,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
27,1,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
28,6,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
29,10,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
30,10,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
40,10,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
41,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
42,3,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
43,6,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
44,1,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
45,1,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
55,8,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
56,9,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
57,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
58,6,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
59,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
60,5,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
70,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
71,2,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
72,5,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
73,6,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
74,5,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
75,4,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
9,7,5,2024-04-14 15:46:39+00,2024-04-14 15:46:39+00
