criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;10;10;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;11;10;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;12;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;13;6;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;14;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;15;1;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;25;3;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;26;3;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;27;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;28;6;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;29;1;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;30;1;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;40;3;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;41;9;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;42;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;43;6;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;44;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;45;10;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;55;1;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;56;1;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;57;5;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;58;66;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;59;5;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;60;4;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;70;4;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;71;9;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;72;2;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;73;6;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;74;8;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;75;5;9
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;77;7;9
