criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;1;8;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;2;4;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;3;10;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;4;6;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;5;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;6;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;16;4;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;17;1;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;18;1;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;19;6;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;20;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;21;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;31;1;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;32;1;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;33;3;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;34;6;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;35;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;36;2;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;46;9;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;47;9;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;48;1;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;49;6;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;50;5;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;51;5;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;61;3;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;62;3;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;63;10;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;64;6;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;65;10;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;66;5;10
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;22;7;10
