criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;1;3;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;2;3;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;3;4;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;4;6;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;5;10;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;6;8;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;16;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;17;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;18;3;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;19;6;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;20;1;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;21;1;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;31;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;32;9;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;33;5;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;34;6;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;35;1;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;36;1;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;46;10;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;47;10;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;48;1;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;49;6;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;50;4;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;51;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;61;9;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;62;5;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;63;5;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;64;6;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;65;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;66;2;15
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;53;7;15
